main_key,sub_key,ko,en
choice.act1.chapter01.episode01.black_cloth_raid.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode01.rescue_charge.rescue_villagers,label,청운촌 주민들을 지키며 검은 천의 무리를 몰아낸다.,
choice.act1.chapter01.episode01.rescue_charge.rescue_villagers,result,서진이 검은 천 무리 사이로 뛰어들며 전투가 시작된다.,
choice.act1.chapter01.episode01.village_arrival.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode02.choose_first_trace.follow_jihan_clue,label,지한과 함께 아이의 그림에 남은 서쪽 약초꾼 길을 조사한다.,
choice.act1.chapter01.episode02.choose_first_trace.follow_jihan_clue,result,서진은 붉은 천 인형과 아이를 꾀어낸 말이 산귀 소문과 연결될 수 있음을 의식한다.,
choice.act1.chapter01.episode02.choose_first_trace.follow_yujin_trace,label,유진과 함께 지워진 수레 자국을 따라 동쪽 폐수련장으로 향한다.,
choice.act1.chapter01.episode02.choose_first_trace.follow_yujin_trace,result,서진은 유진과 함께 지워진 흔적을 따라 숲으로 들어가며 다음 에피소드의 추적 흐름을 연다.,
choice.act1.chapter01.episode02.village_after_attack.ask_child_family,label,실종자 가족에게 묻는다.,
choice.act1.chapter01.episode02.village_after_attack.ask_child_family,result,지한의 관점과 아이가 아직 살아 있을 수 있다는 가능성이 강화된다.,
choice.act1.chapter01.episode02.village_after_attack.check_remaining_traces,label,남은 흔적을 확인한다.,
choice.act1.chapter01.episode02.village_after_attack.check_remaining_traces,result,서진은 실종 사건을 소문이 아니라 추적 가능한 흔적의 문제로 보기 시작한다.,
choice.act1.chapter01.episode02.yujin_wheel_trace.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode03_1.defend_hut.defend_jihan_and_child,label,지한과 다친 아이를 지키며 검은 천의 추격자들을 막아낸다.,
choice.act1.chapter01.episode03_1.defend_hut.defend_jihan_and_child,result,서진은 오두막 앞에 서서 짐승과 검은 천 추격자들이 아이에게 접근하지 못하게 막으며 전투에 들어간다.,
choice.act1.chapter01.episode03_1.hut_pursuit.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode03_1.red_doll_tree.accept_jihan_join,label,지한의 치료를 돕고 아이의 증언을 듣는다.,
choice.act1.chapter01.episode03_1.red_doll_tree.accept_jihan_join,result,"지한이 파티에 합류하고, 서진은 아이들을 살려낼 손과 함께 움직이게 된다.",
choice.act1.chapter01.episode03_1.red_doll_tree.follow_red_doll_trace,label,붉은 인형 아래의 흔적을 따라간다.,
choice.act1.chapter01.episode03_1.red_doll_tree.follow_red_doll_trace,result,서진은 숲속 오래된 산길에서 일부러 감춰진 아이의 흔적을 확인한다.,
choice.act1.chapter01.episode03_2.break_training_ground.subdue_training_ground_bandits,label,유진과 함께 폐수련장의 감시자들을 돌파한다.,
choice.act1.chapter01.episode03_2.break_training_ground.subdue_training_ground_bandits,result,전투 준비를 마치고 눈앞의 위협에 맞선다.,
choice.act1.chapter01.episode03_2.oil_wheel_trace.accept_yujin_join,label,유진과 함께 조작된 산귀 흔적을 확인한다.,
choice.act1.chapter01.episode03_2.oil_wheel_trace.accept_yujin_join,result,선택한 방향에 따라 다음 장면으로 이어진다.,
choice.act1.chapter01.episode03_2.oil_wheel_trace.track_erased_traces,label,지워진 수레 자국을 복원한다.,
choice.act1.chapter01.episode03_2.oil_wheel_trace.track_erased_traces,result,선택한 방향에 따라 다음 장면으로 이어진다.,
choice.act1.chapter01.episode03_2.training_ground_watchers.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode04_1.oil_to_training_ground.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode04_1.shared_north_trail.follow_bloody_trace_with_jihan,label,유진을 동료로 맞아 북쪽 수레길과 납치범의 흔적을 함께 추적한다.,
choice.act1.chapter01.episode04_1.shared_north_trail.follow_bloody_trace_with_jihan,result,선택한 방향에 따라 다음 장면으로 이어진다.,
choice.act1.chapter01.episode04_2.cage_to_west_path.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode04_2.jihan_testimony.inspect_erased_trace_with_yujin,label,지한을 동료로 맞아 아이의 증언과 북쪽 수레 자국을 함께 잇는다.,
choice.act1.chapter01.episode04_2.jihan_testimony.inspect_erased_trace_with_yujin,result,선택한 방향에 따라 다음 장면으로 이어진다.,
choice.act1.chapter01.episode05_1.bloodied_herbs.accept_yujin_join,label,아이의 상처와 약초 흔적을 중심으로 북쪽 산길을 추적한다.,
choice.act1.chapter01.episode05_1.bloodied_herbs.accept_yujin_join,result,선택한 방향에 따라 다음 장면으로 이어진다.,
choice.act1.chapter01.episode05_1.defend_bloodied_trail.break_training_ground_encirclement,label,지한이 아이의 방울과 상처 흔적을 지키도록 짐승 무리를 막아낸다.,
choice.act1.chapter01.episode05_1.defend_bloodied_trail.break_training_ground_encirclement,result,전투 준비를 마치고 눈앞의 위협에 맞선다.,
choice.act1.chapter01.episode05_1.red_collar_beasts.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode05_2.cut_signal_line.break_hut_encirclement,label,유진의 화살길을 열어 조련된 짐승 무리를 신속히 돌파한다.,
choice.act1.chapter01.episode05_2.cut_signal_line.break_hut_encirclement,result,전투 준비를 마치고 눈앞의 위협에 맞선다.,
choice.act1.chapter01.episode05_2.trained_beasts_signal.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode05_2.wheel_oil_and_arrow.accept_jihan_join,label,수레 자국과 조작된 짐승 발자국을 중심으로 북쪽 산길을 추적한다.,
choice.act1.chapter01.episode05_2.wheel_oil_and_arrow.accept_jihan_join,result,선택한 방향에 따라 다음 장면으로 이어진다.,
choice.act1.chapter01.episode06.children_return.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode06.fort_convergence.next,label,다음으로 진행한다.,
choice.act1.chapter01.episode06.old_altar_truth.next,label,에피소드를 완료한다.,
choice.act1.chapter01.episode06.sangui_mask_leader.attack_bandit_fort,label,아이들과 산채의 증거를 지키며 산귀 가면의 무리를 제압한다.,
choice.act1.chapter01.episode06.sangui_mask_leader.attack_bandit_fort,result,전투 준비를 마치고 눈앞의 위협에 맞선다.,
choice.act1.random_event.01.name_swallowing_well.direct_intervention_1,label,밧줄을 묶고 우물 아래로 내려가 목소리의 주인을 찾는다.,
choice.act1.random_event.01.name_swallowing_well.direct_intervention_1,result,"일행이 바닥에 닿자 마른 줄 알았던 우물 벽에서 검은 물이 한꺼번에 스며 나왔다. 차가운 물살과 무너진 돌에 팔다리를 다쳤지만, 진흙 속에서 이름이 반쯤 남은 작은 놋방울을 찾아냈다. 방울을 흔들자 아이의 목소리는 울음을 그치고 자기 이름을 또렷이 말했으며, 검은 물도 발목 아래로 잦아들었다. 놋방울은 오래전 가뭄 때 마을에서 내쫓긴 아이가 지니고 있던 물건이었다.",
choice.act1.random_event.01.name_swallowing_well.investigate_2,label,노인의 말을 멈춰 세우고 주민들과 함께 우물 주변의 옛 흔적을 조사한다.,
choice.act1.random_event.01.name_swallowing_well.investigate_2,result,"일행은 장승과 두레박에 남은 자국을 대조하고, 노인의 헛간에서 같은 무늬가 새겨진 낡은 나무패를 찾아냈다. 주민들이 추궁하자 노인은 오래전 가뭄 때 물을 훔쳤다는 누명을 씌워 고아 하나를 마을 밖으로 쫓아냈으며, 아이의 이름이 적힌 패까지 우물에 버렸다고 털어놓았다. 주민들은 우물을 메우는 대신 아이의 이름을 새긴 작은 비석을 세우기로 했고, 진실을 밝혀준 답례로 집마다 조금씩 모은 돈을 일행에게 건넸다. 그날 밤부터 우물에서는 더 이상 목소리가 들리지 않았다.",
choice.act1.random_event.01.name_swallowing_well.seal_or_destroy_3,label,우물에서 들리는 소리를 위험한 괴이로 여기고 주민들이 입구를 메우도록 돕는다.,
choice.act1.random_event.01.name_swallowing_well.seal_or_destroy_3,result,"마지막 돌이 입구를 덮는 순간, 우물 안의 방울 소리가 거칠게 울렸다. 틈새로 솟은 차가운 안개가 이름을 잃은 원혼의 형상으로 뭉쳐 우물가의 사람들을 붙잡았다. 오래전 이름을 빼앗긴 채 쫓겨난 아이의 원망은 낡은 방울과 비석 파편에 매달린 채 다시 묻히는 것을 거부했고, 일행은 주민들이 달아날 시간을 벌기 위해 폐신당 원혼과 무명 비석 수호자의 그림자에 맞서야 했다.",
choice.act1.random_event.02.rain_seller.avoid_3,label,수상한 거래에 관여하지 않고 고갯길을 떠난다.,
choice.act1.random_event.02.rain_seller.avoid_3,result,일행은 장사꾼의 외침을 뒤로하고 길을 재촉했다. 산모퉁이를 돌 때까지 빈 병을 사려는 주민들의 말다툼이 메마른 바람을 타고 들려왔다.,
choice.act1.random_event.02.rain_seller.direct_intervention_1,label,수레 밑의 가죽주머니를 꺼내 장사꾼의 속임수를 밝힌다.,
choice.act1.random_event.02.rain_seller.direct_intervention_1,result,"속임수가 드러나자 장사꾼과 호위로 위장한 산적들이 곡도와 몽둥이를 꺼냈다. 일행이 그들을 제압하자 주민들은 빼앗겼던 돈과 곡식을 되찾았고, 주인을 확인할 수 없는 산적의 돈 일부를 사건을 해결한 몫으로 건넸다.",
choice.act1.random_event.02.rain_seller.investigate_2,label,서늘한 기운이 새는 검은 병의 정체를 살핀다.,
choice.act1.random_event.02.rain_seller.investigate_2,result,"마개를 여는 순간 차가운 돌풍이 손을 얼리고 유리 파편이 팔을 스쳤다. 병 안에는 비구름이 아니라 물기를 끌어당기는 작은 청옥 구슬이 들어 있었다. 장사꾼도 산에서 주웠을 뿐 쓰임을 몰랐고, 일행은 위험한 병 대신 청옥 구슬을 거두었다.",
choice.act1.random_event.03.returning_straw_shoes.choice_3,label,짚신을 마당에 두고 밤새 누가 가져가는지 지켜본다.,
choice.act1.random_event.03.returning_straw_shoes.choice_3,result,달이 기울 무렵 헛간에서 아이가 기어 나왔다. 일행이 조용히 음식을 건네자 아이는 산에서 자신을 길 잃지 않게 해준 작은 나침반을 답례로 내놓았다. 녹슨 바늘은 북쪽이 아니라 사람이 다닌 가장 가까운 길을 가리키고 있었다.,
choice.act1.random_event.03.returning_straw_shoes.investigate_1,label,짚신의 흔적을 따라 집 뒤 헛간을 확인한다.,
choice.act1.random_event.03.returning_straw_shoes.investigate_1,result,"헛간 안에는 산에서 내려온 굶주린 아이가 숨어 있었다. 아이는 노파가 무서워 모습을 드러내지 못한 채, 밤마다 음식을 얻으려고 손에 든 짚신을 문턱에 놓았다. 노파는 잃은 손자가 돌아온 줄 알았다며 아이에게 따뜻한 죽을 내주었고, 일행도 함께 쉬며 지친 몸을 회복했다.",
choice.act1.random_event.03.returning_straw_shoes.seal_or_destroy_2,label,노파의 부탁대로 짚신을 아궁이에 넣어 태운다.,
choice.act1.random_event.03.returning_straw_shoes.seal_or_destroy_2,result,"불길이 짚신을 삼키자 헛간에서 뛰쳐나온 아이가 타다 남은 짚신을 맨손으로 움켜쥐었다. 놀란 노파가 솥을 넘어뜨리는 바람에 뜨거운 물이 튀어 일행이 화상을 입었다. 뒤늦게 사정을 알게 되었지만, 아이는 겁에 질려 산속으로 달아났다.",
choice.act1.random_event.04.red_thread_mountain_goat.avoid_3,label,사냥꾼의 덫으로 판단하고 다른 길로 우회한다.,
choice.act1.random_event.04.red_thread_mountain_goat.avoid_3,result,"일행은 짐승들의 울음소리를 뒤로한 채 먼 비탈로 돌아갔다. 해가 질 무렵 절벽 쪽에서 방울이 한 번 울렸지만, 무엇이 살아남았는지는 알 수 없었다.",
choice.act1.random_event.04.red_thread_mountain_goat.choice_2,label,덤불에 숨어 산양을 노리는 늑대들을 먼저 몰아낸다.,
choice.act1.random_event.04.red_thread_mountain_goat.choice_2,result,일행이 돌을 던져 주의를 끌자 굶주린 늑대들이 일제히 덤불에서 뛰쳐나왔다. 목의 붉은 실이 살을 파고들어 늑대들은 고통과 분노에 날뛰었다. 일행은 늑대 무리를 제압한 뒤 산양과 늑대들에게 묶인 실을 모두 끊어 주었다.,
choice.act1.random_event.04.red_thread_mountain_goat.direct_intervention_1,label,절벽으로 다가가 산양의 뿔에서 붉은 실을 풀어준다.,
choice.act1.random_event.04.red_thread_mountain_goat.direct_intervention_1,result,"겁먹은 산양이 몸부림치는 바람에 일행은 비탈에서 넘어져 상처를 입었다. 실이 풀리자 산양은 바위틈으로 달아났고, 그 자리에 뿔에 걸려 있던 작은 은방울을 남겼다. 은방울에서는 짐승을 진정시키는 낮고 맑은 소리가 났다.",
choice.act1.random_event.05.abandoned_miner_supper.help_1,label,빈자리에 안전패를 바로 놓고 죽은 광부들을 위해 묵념한다.,
choice.act1.random_event.05.abandoned_miner_supper.help_1,result,"일행이 이름을 하나씩 읽자 숙소를 맴돌던 차가운 기운이 잦아들었다. 밥상은 평범한 보리밥과 국으로 변했고, 따뜻한 음식을 나누어 먹는 동안 오래 쌓인 피로가 풀렸다. 식사가 끝나자 그릇과 숟가락은 먼지처럼 흩어졌다.",
choice.act1.random_event.05.abandoned_miner_supper.investigate_3,label,숙소를 조사해 광부들의 유족에게 전할 물건을 찾는다.,
choice.act1.random_event.05.abandoned_miner_supper.investigate_3,result,"일행은 침상 밑에서 임금이 적힌 장부와 관리자가 숨긴 체불금 자루를 발견했다. 가까운 마을의 유족들에게 장부와 돈을 돌려주자, 유족들은 끝내 주인을 찾지 못한 몫 일부를 수고비로 건넸다.",
choice.act1.random_event.05.abandoned_miner_supper.take_or_buy_2,label,차려진 음식과 숙소 안의 물건을 챙긴다.,
choice.act1.random_event.05.abandoned_miner_supper.take_or_buy_2,result,"첫 그릇을 들어 올리자 벽의 이름들이 검은 손자국으로 번져 나왔다. 무너진 갱도에서 구조받지 못한 이들의 원혼이 꺼진 등불빛처럼 번져 숙소를 에워쌌다. 일행은 폐신당에 남은 원혼과 닮은 그 집착을 밀어내며, 그들이 지키던 마지막 저녁상을 내려놓을 때까지 거센 공격을 견뎌야 했다.",
choice.act1.random_event.06.shrine_eaves_empty_perch.help_1,label,부러진 날개를 묶어 나무 새를 빈자리에 다시 매단다.,
choice.act1.random_event.06.shrine_eaves_empty_perch.help_1,result,"나무 새가 처마에 걸리자 모든 새가 바람도 없이 한꺼번에 흔들렸다. 신당 뒤편에서 오래된 제관의 그림자가 나타나 고개를 숙였고, 부러진 날개 사이에서 푸른 깃털 모양의 목패가 떨어졌다. 목패는 짙은 안개 속에서도 안전한 산길 쪽으로 기울었다.",
choice.act1.random_event.06.shrine_eaves_empty_perch.investigate_2,label,따뜻한 향의 주인을 기다리며 신당 주변을 살핀다.,
choice.act1.random_event.06.shrine_eaves_empty_perch.investigate_2,result,해 질 무렵 약초를 캐던 노인이 돌아왔다. 그는 아무도 찾지 않는 신당의 향을 홀로 갈아 온 사람이었다. 일행이 신당을 훼손하지 않고 기다린 것을 본 노인은 몸을 덥히는 약차와 마른 자리를 내주었다.,
choice.act1.random_event.06.shrine_eaves_empty_perch.seal_or_destroy_3,label,불길한 물건이라 여기고 떨어진 나무 새를 밖으로 던진다.,
choice.act1.random_event.06.shrine_eaves_empty_perch.seal_or_destroy_3,result,나무 새가 돌에 부딪혀 갈라지자 처마의 다른 새들이 날카로운 파편을 쏟아냈다. 일행은 팔과 얼굴에 상처를 입고 신당 밖으로 물러났다. 잠잠해진 뒤에도 빈자리에서는 젖은 새가 우는 듯한 소리가 이어졌다.,
choice.act1.random_event.07.shadow_selling_child.help_3,label,아이에게 먹을 것을 건네고 물건을 팔지 않아도 된다고 설득한다.,
choice.act1.random_event.07.shadow_selling_child.help_3,result,"아이는 한참 망설이다 얼굴의 천을 내렸다. 산에서 굶다 장터의 술사에게 붙잡힌 아이는 병을 모두 팔기 전에는 돌아갈 수 없었다고 털어놓았다. 일행이 따뜻한 음식을 나누고 병마개를 단단히 봉하자, 아이가 되찾은 옅은 그림자가 지친 몸을 감싸 상처와 피로를 덜어 주었다.",
choice.act1.random_event.07.shadow_selling_child.investigate_2,label,장터 사람들에게 발밑을 확인하게 해 아이의 수상한 거래를 멈춘다.,
choice.act1.random_event.07.shadow_selling_child.investigate_2,result,"사라진 그림자를 알아챈 사람들이 아이를 붙잡으려 하자, 장터 끝 폐가에서 붉은 천 인형을 단 술사가 모습을 드러냈다. 바닥의 그림자는 그가 부른 원혼과 주술 잔상처럼 일어나 사람들의 발목을 잡았고, 아이는 시켜서 병을 팔았을 뿐이라며 울부짖었다. 일행은 장터 사람들을 물리며 붉은 인형 술사의 의식과 맞서야 했다.",
choice.act1.random_event.07.shadow_selling_child.moonlit_empty_market.avoid_3,label,자신의 먹물 자국을 지우고 검은 거리에서 빠져나온다.,
choice.act1.random_event.07.shadow_selling_child.moonlit_empty_market.avoid_3,result,"일행이 손자국을 흙으로 문지르자 폐가와 검은 장터가 안개처럼 멀어졌다. 현실로 돌아왔을 때 손의 냉기는 사라졌지만, 주인을 찾지 못한 그림자들의 속삭임도 더는 들을 수 없었다.",
choice.act1.random_event.07.shadow_selling_child.moonlit_empty_market.direct_intervention_1,label,항아리를 깨뜨려 갇힌 그림자들을 한꺼번에 풀어준다.,
choice.act1.random_event.07.shadow_selling_child.moonlit_empty_market.direct_intervention_1,result,"항아리에 금이 가자 술사가 산짐승의 그림자에 먹물을 끼얹어 만든 늑대 실루엣들이 바닥과 벽에서 솟아났다. 굶주린 산늑대와 표식 박힌 우두머리 늑대처럼 움직이는 검은 짐승들이 달려들었고, 일행은 그림자들이 주인에게 돌아갈 시간을 벌기 위해 그 무리를 막아섰다.",
choice.act1.random_event.07.shadow_selling_child.moonlit_empty_market.direct_intervention_2,label,술사에게 다가가 그림자를 모으는 이유를 묻는다.,
choice.act1.random_event.07.shadow_selling_child.moonlit_empty_market.direct_intervention_2,result,"술사는 산에서 이름 없이 죽은 이들에게 몸을 만들어 주려 했다고 주장했지만, 이미 산 사람의 그림자까지 탐내고 있었다. 대화 중 검은 사슬이 일행의 발목을 파고들어 상처를 남겼으나, 일행은 술사의 품에서 그림자를 붙잡아 두는 먹빛 거울을 빼앗았다.",
