main_key,sub_key,ko,en
event.rainy_graveyard,title,비 오는 묘지,Rainy Graveyard
event.rainy_graveyard,body,비가 억수같이 쏟아지는 밤. 길을 잃은 당신들은 오래된 묘지에 도착했다. 무너진 비석들 사이로 희미한 불빛 하나가 흔들리고 있었다.,On a night of pouring rain, your party arrives at an old graveyard after losing the road. A faint light flickers among the collapsed tombstones.
event.rainy_graveyard.1,label,불빛을 따라간다,Follow the Light
event.rainy_graveyard.1,description,희미하게 보이는 불빛의 정체를 확인한다.,Investigate the source of the faint light.
event.rainy_graveyard.1,result,불빛의 정체는 무덤을 돌보는 노인이었다. 노인은 말없이 따뜻한 수프를 내어주었다.,The light belonged to an old caretaker. Without a word, he offered a bowl of warm soup.
event.rainy_graveyard.2,label,비를 피하며 휴식한다,Rest Out of the Rain
event.rainy_graveyard.2,description,묘지 한쪽에서 잠시 비를 피한다.,Take shelter and rest for a while.
event.rainy_graveyard.2,result,젖은 몸을 녹이며 잠시 숨을 돌렸다. 짧은 휴식이었지만 피로가 조금 가셨다.,You warm your soaked body and catch your breath. The brief rest eases your fatigue.
event.rainy_graveyard.3,label,묘지를 뒤져본다,Search the Graveyard
event.rainy_graveyard.3,description,무너진 묘지와 관을 수색한다.,Search the ruined graves and coffins.
event.rainy_graveyard.3,result,낡은 관 하나에서 금화 주머니를 발견했다. 하지만 뒤에서 누군가의 시선이 느껴졌다.,You discover a pouch of gold in an old coffin, but feel someone's gaze watching from behind.
event.broken_automaton,title,고장 난 자동인형,Broken Automaton
event.broken_automaton,body,숲속에서 움직임을 멈춘 자동인형 하나를 발견했다. 아직 희미한 동력이 남아 있는 듯하다.,You discover a motionless automaton in the forest. A faint power source still seems active.
event.broken_automaton.1,label,수리한다,Repair It
event.broken_automaton.1,description,부품을 맞춰 자동인형을 복구한다.,Attempt to restore the automaton.
event.broken_automaton.1,result,자동인형이 깨어나 감사의 표시로 핵심 부품을 남기고 떠났다.,The automaton awakens and leaves behind a valuable core.
event.broken_automaton.2,label,분해한다,Dismantle It
event.broken_automaton.2,description,쓸만한 부품을 챙긴다.,Salvage useful parts.
event.broken_automaton.2,result,부품과 금속 조각을 회수했다.,You recover valuable materials.
event.broken_automaton.3,label,강제로 기동한다,Force Activation
event.broken_automaton.3,description,남은 동력을 억지로 활성화한다.,Force the remaining power to activate.
event.broken_automaton.3,result,자동인형이 폭주하며 적대적으로 변했다.,The automaton goes berserk and turns hostile.
